Ake,m
Alfhild,f
Alva,e
Alvilda,f
Arvid,m
Ase,f
Asger,m
Aslaug,f
Aslog,f
Asmund,m
Asta,f
Astrid,f
Audhild,f
Audun,m
Balder,m
Bard,m
Bergljot,f
Birger,m
Bjarke,m
Bjarni,m
Bjarte,m
Bjorn,m
Bodil,f
Borghild,f
Brandt,m
Brant,m
Brenda,f
Brenna,f
Brynjar,m
Calder,m
Canute,m
Carr,m
Colborn,m
Colby,m
Colden,m
Corey,m
Crosby,m
Cuyler,m
Dag,m
Dagfinn,m
Dagmar,f
Dagny,f
Darby,e
Destin,m
Dustin,m
Dusty,e
Eerika,f
Eerikki,m
Egil,m
Einar,m
Eindride,m
Eira,f
Eirik,m
Elof,m
Eluf,m
Embla,f
Endre,m
Eric,m
Erica,f
Erico,m
Erika,f
Erland,m
Erlend,m
Erling,m
Even,m
Eydis,f
Fell,m
Felman,m
Fiske,m
Folke,m
Freja,f
Frey,m
Fritjof,m
Frode,m
Gandalf,m
Garth,m
Geir,m
Gerd,f
Gosta,m
Gudbrand,m
Gudmund,m
Gulbrand,m
Gull,f
Gunborg,f
Gunhild,f
Gunilla,f
Gunnar,m
Gunne,m
Gunvor,f
Gustav,m
Gustavo,m
Gyda,f
Hackett,m
Hagen,m
Hakon,m
Haldor,m
Hall,m
Halstein,m
Halvar,m
Halvard,m
Halvdan,m
Halvor,m
Hammond,m
Haskell,m
Havardr,m
Hege,f
Helga,f
Helka,f
Hella,f
Helle,f
Hemming,m
Herleif,m
Herleifr,m
Hertha,f
Hillevi,f
Hjalmar,m
Holger,m
Holmes,m
Igor,m
Inge,e
Ingeborg,f
Ingemar,m
Inger,f
Ingfred,m
Inghard,m
Ingolf,m
Ingrid,f
Ingvar,m
Inkeri,f
Iona,f
Ivar,m
Iver,m
Jari,m
Jarl,m
Jarle,m
Jary,m
Jerk,m
Jerker,m
Jerrik,m
Jorunn,f
Kare,m
Kari,f
Kelby,m
Keld,m
Kensley,m
Kettil,m
Kirby,m
Kirk,m
Kirkland,m
Kirkwood,m
Kjeld,m
Kjell,m
Knud,m
Knute,m
Kory,m
Kustaa,m
Lamont,m
Lamonte,m
Langley,m
Latham,m
Leif,m
Loki,m
Magnhild,f
Manning,m
Nanna,f
Odin,m
Oili,f
Olaf,m
Olavi,m
Olavo,m
Olga,f
Olin,m
Olle,m
Olsen,m
Oluf,m
Osmond,m
Ove,m
Oydis,f
Ragna,f
Ragnhild,f
Ralph,m
Randolph,m
Rangvald,m
Rangvaldr,m
Raoul,m
Raul,m
Ronald,m
Ronaldo,m
Roscoe,m
Runa,f
Saga,f
Sassa,f
Selby,e
Shelby,e
Sigfrid,f
Signe,f
Signy,f
Sigrid,f
Sigrun,f
Sigurd,m
Siri,f
Siv,f
Soini,m
Solveig,f
Solvej,f
Solvi,f
Steen,m
Stein,m
Steiner,m
Sten,m
Stian,m
Stig,m
Stigr,m
Sture,m
Sutherland,m
Sveinn,m
Sven,m
Svend,m
Sylvi,f
Tait,m
Tarben,m
Thor,m
Thora,f
Thorpe,m
Thorsen,m
Thorsten,m
Thorvaldr,m
Thurman,m
Thurmond,m
Thurston,m
Thyra,f
Tone,f
Torben,m
Torbjorn,m
Torborg,f
Tordis,f
Tore,m
Torhild,f
Toril,f
Torny,f
Torsten,m
Torvald,m
Tove,f
Troels,m
Trygve,m
Tue,m
Turid,f
Tyr,m
Tyra,f
Uffe,m
Ulf,m
Unn,e
Urist,m
Vali,m
Vern,m
Vernon,m
Vidar,m
Viggo,m
Welch,m
Ylva,f
